===== No 20 Top 50 Capital Cities by Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
44    Nicosia                   Cyprus                                   Nicosia              Middle East                    Asia            195000    
45    al-Manama                 Bahrain                                  al-Manama            Middle East                    Asia            148000    
46    Male                      Maldives                                 Maale                Southern and Central Asia      Asia            71000     
47    Masqat                    Oman                                     Masqat               Middle East                    Asia            51969     
48    Dili                      East Timor                               Dili                 Southeast Asia                 Asia            47900     
49    Kuwait                    Kuwait                                   al-Asima             Middle East                    Asia            28859     
50    Thimphu                   Bhutan                                   Thimphu              Southern and Central Asia      Asia            22000     
51    Bandar Seri Begawan       Brunei                                   Brunei and Muara     Southeast Asia                 Asia            21484     
52    Moscow                    Russian Federation                       Moscow (City)        Eastern Europe                 Europe          8389200   
53    London                    United Kingdom                           England              British Islands                Europe          7285000   
54    Berlin                    Germany                                  Berliini             Western Europe                 Europe          3386667   
55    Madrid                    Spain                                    Madrid               Southern Europe                Europe          2879052   
56    Roma                      Italy                                    Latium               Southern Europe                Europe          2643581   
57    Kyiv                      Ukraine                                  Kiova                Eastern Europe                 Europe          2624000   
58    Paris                     France                                   Île-de-France        Western Europe                 Europe          2125246   
59    Bucuresti                 Romania                                  Bukarest             Eastern Europe                 Europe          2016131   
60    Budapest                  Hungary                                  Budapest             Eastern Europe                 Europe          1811552   
61    Minsk                     Belarus                                  Horad Minsk          Eastern Europe                 Europe          1674000   
62    Warszawa                  Poland                                   Mazowieckie          Eastern Europe                 Europe          1615369   
63    Wien                      Austria                                  Wien                 Western Europe                 Europe          1608144   
64    Beograd                   Yugoslavia                               Central Serbia       Southern Europe                Europe          1204000   
65    Praha                     Czech Republic                           Hlavní mesto Praha   Eastern Europe                 Europe          1181126   
66    Sofija                    Bulgaria                                 Grad Sofija          Eastern Europe                 Europe          1122302   
67    Athenai                   Greece                                   Attika               Southern Europe                Europe          772072    
68    Riga                      Latvia                                   Riika                Baltic Countries               Europe          764328    
69    Stockholm                 Sweden                                   Lisboa               Nordic Countries               Europe          750348    
70    Amsterdam                 Netherlands                              Noord-Holland        Western Europe                 Europe          731200    
71    Chisinau                  Moldova                                  Chisinau             Eastern Europe                 Europe          719900    
72    Zagreb                    Croatia                                  Grad Zagreb          Southern Europe                Europe          706770    
73    Vilnius                   Lithuania                                Vilna                Baltic Countries               Europe          577969    
74    Lisboa                    Portugal                                 Lisboa               Southern Europe                Europe          563210    
75    Helsinki [Helsingfors]    Finland                                  Newmaa               Nordic Countries               Europe          555474    
76    Oslo                      Norway                                   Oslo                 Nordic Countries               Europe          508726    
77    København                 Denmark                                  København            Nordic Countries               Europe          495699    
78    Dublin                    Ireland                                  Leinster             British Islands                Europe          481854    
