===== No 20 Top 50 Capital Cities by Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
95    Koror                          Palau                                         Micronesia                     Oceania         12000       
96    Garapan                        Northern Mariana Islands                      Micronesia                     Oceania         9200        
97    Palikir                        Micronesia, Federated States of               Micronesia                     Oceania         8600        
98    Bairiki                        Kiribati                                      Micronesia                     Oceania         2226        
99    Agaña                          Guam                                          Micronesia                     Oceania         1139        
100   Yaren                          Nauru                                         Micronesia                     Oceania         559         
101   Baghdad                        Iraq                                          Middle East                    Asia            4336000     
102   Riyadh                         Saudi Arabia                                  Middle East                    Asia            3324000     
103   Ankara                         Turkey                                        Middle East                    Asia            3038159     
104   Bakı                           Azerbaijan                                    Middle East                    Asia            1787800     
105   Damascus                       Syria                                         Middle East                    Asia            1347000     
106   Yerevan                        Armenia                                       Middle East                    Asia            1248700     
107   Tbilisi                        Georgia                                       Middle East                    Asia            1235200     
108   Beirut                         Lebanon                                       Middle East                    Asia            1100000     
109   Amman                          Jordan                                        Middle East                    Asia            1000000     
110   Jerusalem                      Israel                                        Middle East                    Asia            633700      
111   Sanaa                          Yemen                                         Middle East                    Asia            503600      
112   Abu Dhabi                      United Arab Emirates                          Middle East                    Asia            398695      
113   Doha                           Qatar                                         Middle East                    Asia            355000      
114   Gaza                           Palestine                                     Middle East                    Asia            353632      
115   Nicosia                        Cyprus                                        Middle East                    Asia            195000      
116   al-Manama                      Bahrain                                       Middle East                    Asia            148000      
117   Masqat                         Oman                                          Middle East                    Asia            51969       
118   Kuwait                         Kuwait                                        Middle East                    Asia            28859       
119   Stockholm                      Sweden                                        Nordic Countries               Europe          750348      
120   Helsinki [Helsingfors]         Finland                                       Nordic Countries               Europe          555474      
121   Oslo                           Norway                                        Nordic Countries               Europe          508726      
122   København                      Denmark                                       Nordic Countries               Europe          495699      
123   Reykjavík                      Iceland                                       Nordic Countries               Europe          109184      
124   Tórshavn                       Faroe Islands                                 Nordic Countries               Europe          14542       
125   Longyearbyen                   Svalbard and Jan Mayen                        Nordic Countries               Europe          1438        
126   Washington                     United States                                 North America                  North America   572059      
127   Ottawa                         Canada                                        North America                  North America   335277      
128   Nuuk                           Greenland                                     North America                  North America   13445       
129   Saint-Pierre                   Saint Pierre and Miquelon                     North America                  North America   5808        
130   Hamilton                       Bermuda                                       North America                  North America   1200        
131   Cairo                          Egypt                                         Northern Africa                Africa          6789479     
132   Alger                          Algeria                                       Northern Africa                Africa          2168000     
133   Tripoli                        Libyan Arab Jamahiriya                        Northern Africa                Africa          1682000     
134   Khartum                        Sudan                                         Northern Africa                Africa          947483      
135   Tunis                          Tunisia                                       Northern Africa                Africa          690600      
136   Rabat                          Morocco                                       Northern Africa                Africa          623457      
137   El-Aaiún                       Western Sahara                                Northern Africa                Africa          169000      
138   Apia                           Samoa                                         Polynesia                      Oceania         35900       
139   Papeete                        French Polynesia                              Polynesia                      Oceania         25553       
140   Nuku´alofa                     Tonga                                         Polynesia                      Oceania         22400       
141   Avarua                         Cook Islands                                  Polynesia                      Oceania         11900       
142   Funafuti                       Tuvalu                                        Polynesia                      Oceania         4600        
143   Fagatogo                       American Samoa                                Polynesia                      Oceania         2323        
144   Mata-Utu                       Wallis and Futuna                             Polynesia                      Oceania         1137        
145   Alofi                          Niue                                          Polynesia                      Oceania         682         
146   Fakaofo                        Tokelau                                       Polynesia                      Oceania         300         
147   Adamstown                      Pitcairn                                      Polynesia                      Oceania         42          
148   Lima                           Peru                                          South America                  South America   6464693     
149   Santafé de Bogotá              Colombia                                      South America                  South America   6260862     
150   Santiago de Chile              Chile                                         South America                  South America   4703954     
151   Buenos Aires                   Argentina                                     South America                  South America   2982146     
152   Caracas                        Venezuela                                     South America                  South America   1975294     
153   Brasília                       Brazil                                        South America                  South America   1969868     
154   Quito                          Ecuador                                       South America                  South America   1573458     
155   Montevideo                     Uruguay                                       South America                  South America   1236000     
156   La Paz                         Bolivia                                       South America                  South America   758141      
157   Asunción                       Paraguay                                      South America                  South America   557776      
158   Georgetown                     Guyana                                        South America                  South America   254000      
159   Paramaribo                     Suriname                                      South America                  South America   112000      
160   Cayenne                        French Guiana                                 South America                  South America   50699       
161   Stanley                        Falkland Islands                              South America                  South America   1636        
162   Jakarta                        Indonesia                                     Southeast Asia                 Asia            9604900     
163   Bangkok                        Thailand                                      Southeast Asia                 Asia            6320174     
164   Singapore                      Singapore                                     Southeast Asia                 Asia            4017733     
165   Rangoon (Yangon)               Myanmar                                       Southeast Asia                 Asia            3361700     
166   Manila                         Philippines                                   Southeast Asia                 Asia            1581082     
167   Hanoi                          Vietnam                                       Southeast Asia                 Asia            1410000     
168   Kuala Lumpur                   Malaysia                                      Southeast Asia                 Asia            1297526     
169   Phnom Penh                     Cambodia                                      Southeast Asia                 Asia            570155      
170   Vientiane                      Laos                                          Southeast Asia                 Asia            531800      
171   Dili                           East Timor                                    Southeast Asia                 Asia            47900       
172   Bandar Seri Begawan            Brunei                                        Southeast Asia                 Asia            21484       
173   Pretoria                       South Africa                                  Southern Africa                Africa          658630      
174   Maseru                         Lesotho                                       Southern Africa                Africa          297000      
175   Gaborone                       Botswana                                      Southern Africa                Africa          213017      
176   Windhoek                       Namibia                                       Southern Africa                Africa          169000      
177   Mbabane                        Swaziland                                     Southern Africa                Africa          61000       
178   Teheran                        Iran                                          Southern and Central Asia      Asia            6758845     
179   Dhaka                          Bangladesh                                    Southern and Central Asia      Asia            3612850     
180   Toskent                        Uzbekistan                                    Southern and Central Asia      Asia            2117500     
181   Kabul                          Afghanistan                                   Southern and Central Asia      Asia            1780000     
182   Colombo                        Sri Lanka                                     Southern and Central Asia      Asia            645000      
183   Kathmandu                      Nepal                                         Southern and Central Asia      Asia            591835      
184   Bishkek                        Kyrgyzstan                                    Southern and Central Asia      Asia            589400      
185   Ashgabat                       Turkmenistan                                  Southern and Central Asia      Asia            540600      
186   Islamabad                      Pakistan                                      Southern and Central Asia      Asia            524500      
187   Dushanbe                       Tajikistan                                    Southern and Central Asia      Asia            524000      
188   Astana                         Kazakstan                                     Southern and Central Asia      Asia            311200      
189   New Delhi                      India                                         Southern and Central Asia      Asia            301297      
190   Male                           Maldives                                      Southern and Central Asia      Asia            71000       
191   Thimphu                        Bhutan                                        Southern and Central Asia      Asia            22000       
192   Madrid                         Spain                                         Southern Europe                Europe          2879052     
193   Roma                           Italy                                         Southern Europe                Europe          2643581     
194   Beograd                        Yugoslavia                                    Southern Europe                Europe          1204000     
195   Athenai                        Greece                                        Southern Europe                Europe          772072      
196   Zagreb                         Croatia                                       Southern Europe                Europe          706770      
197   Lisboa                         Portugal                                      Southern Europe                Europe          563210      
198   Skopje                         Macedonia                                     Southern Europe                Europe          444299      
199   Sarajevo                       Bosnia and Herzegovina                        Southern Europe                Europe          360000      
200   Ljubljana                      Slovenia                                      Southern Europe                Europe          270986      
201   Tirana                         Albania                                       Southern Europe                Europe          270000      
202   Gibraltar                      Gibraltar                                     Southern Europe                Europe          27025       
203   Andorra la Vella               Andorra                                       Southern Europe                Europe          21189       
204   Valletta                       Malta                                         Southern Europe                Europe          7073        
205   San Marino                     San Marino                                    Southern Europe                Europe          2294        
206   Città del Vaticano             Holy See (Vatican City State)                 Southern Europe                Europe          455         
207   Conakry                        Guinea                                        Western Africa                 Africa          1090610     
208   Accra                          Ghana                                         Western Africa                 Africa          1070000     
209   Monrovia                       Liberia                                       Western Africa                 Africa          850000      
210   Freetown                       Sierra Leone                                  Western Africa                 Africa          850000      
211   Ouagadougou                    Burkina Faso                                  Western Africa                 Africa          824000      
212   Bamako                         Mali                                          Western Africa                 Africa          809552      
213   Dakar                          Senegal                                       Western Africa                 Africa          785071      
214   Nouakchott                     Mauritania                                    Western Africa                 Africa          667300      
215   Niamey                         Niger                                         Western Africa                 Africa          420000      
216   Lomé                           Togo                                          Western Africa                 Africa          375000      
217   Abuja                          Nigeria                                       Western Africa                 Africa          350100      
218   Bissau                         Guinea-Bissau                                 Western Africa                 Africa          241000      
219   Porto-Novo                     Benin                                         Western Africa                 Africa          194000      
220   Yamoussoukro                   Côte d’Ivoire                                 Western Africa                 Africa          130000      
221   Praia                          Cape Verde                                    Western Africa                 Africa          94800       
222   Banjul                         Gambia                                        Western Africa                 Africa          42326       
223   Jamestown                      Saint Helena                                  Western Africa                 Africa          1500        
224   Berlin                         Germany                                       Western Europe                 Europe          3386667     
225   Paris                          France                                        Western Europe                 Europe          2125246     
226   Wien                           Austria                                       Western Europe                 Europe          1608144     
227   Amsterdam                      Netherlands                                   Western Europe                 Europe          731200      
228   Bruxelles [Brussel]            Belgium                                       Western Europe                 Europe          133859      
229   Bern                           Switzerland                                   Western Europe                 Europe          122700      
230   Luxembourg [Luxemburg/Lëtzebuerg] Luxembourg                                    Western Europe                 Europe          80700       
231   Vaduz                          Liechtenstein                                 Western Europe                 Europe          5043        
232   Monaco-Ville                   Monaco                                        Western Europe                 Europe          1234        

===== No 22 Top 5 Capital Cities by Region Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
1     Canberra                       Australia                                     Australia and New Zealand      Oceania         322723      
2     Wellington                     New Zealand                                   Australia and New Zealand      Oceania         166700      
3     Kingston                       Norfolk Island                                Australia and New Zealand      Oceania         800         
4     Flying Fish Cove               Christmas Island                              Australia and New Zealand      Oceania         700         
5     West Island                    Cocos (Keeling) Islands                       Australia and New Zealand      Oceania         167         
6     Riga                           Latvia                                        Baltic Countries               Europe          764328      
7     Vilnius                        Lithuania                                     Baltic Countries               Europe          577969      
8     Tallinn                        Estonia                                       Baltic Countries               Europe          403981      
9     London                         United Kingdom                                British Islands                Europe          7285000     
10    Dublin                         Ireland                                       British Islands                Europe          481854      
11    La Habana                      Cuba                                          Caribbean                      North America   2256000     
12    Santo Domingo de Guzmán        Dominican Republic                            Caribbean                      North America   1609966     
13    Port-au-Prince                 Haiti                                         Caribbean                      North America   884472      
14    San Juan                       Puerto Rico                                   Caribbean                      North America   434374      
15    Nassau                         Bahamas                                       Caribbean                      North America   172000      
16    Kinshasa                       Congo, The Democratic Republic of the         Central Africa                 Africa          5064000     
17    Luanda                         Angola                                        Central Africa                 Africa          2022000     
18    Yaoundé                        Cameroon                                      Central Africa                 Africa          1372800     
19    Brazzaville                    Congo                                         Central Africa                 Africa          950000      
20    N´Djaména                      Chad                                          Central Africa                 Africa          530965      
21    Ciudad de México               Mexico                                        Central America                North America   8591309     
22    Managua                        Nicaragua                                     Central America                North America   959000      
23    Ciudad de Guatemala            Guatemala                                     Central America                North America   823301      
24    Tegucigalpa                    Honduras                                      Central America                North America   813900      
25    Ciudad de Panamá               Panama                                        Central America                North America   471373      
26    Addis Abeba                    Ethiopia                                      Eastern Africa                 Africa          2495000     
27    Nairobi                        Kenya                                         Eastern Africa                 Africa          2290000     
28    Harare                         Zimbabwe                                      Eastern Africa                 Africa          1410000     
29    Lusaka                         Zambia                                        Eastern Africa                 Africa          1317000     
30    Maputo                         Mozambique                                    Eastern Africa                 Africa          1018938     
31    Seoul                          South Korea                                   Eastern Asia                   Asia            9981619     
32    Tokyo                          Japan                                         Eastern Asia                   Asia            7980230     
33    Peking                         China                                         Eastern Asia                   Asia            7472000     
34    Taipei                         Taiwan                                        Eastern Asia                   Asia            2641312     
35    Pyongyang                      North Korea                                   Eastern Asia                   Asia            2484000     
36    Moscow                         Russian Federation                            Eastern Europe                 Europe          8389200     
37    Kyiv                           Ukraine                                       Eastern Europe                 Europe          2624000     
38    Bucuresti                      Romania                                       Eastern Europe                 Europe          2016131     
39    Budapest                       Hungary                                       Eastern Europe                 Europe          1811552     
40    Minsk                          Belarus                                       Eastern Europe                 Europe          1674000     
41    Port Moresby                   Papua New Guinea                              Melanesia                      Oceania         247000      
42    Suva                           Fiji Islands                                  Melanesia                      Oceania         77366       
43    Nouméa                         New Caledonia                                 Melanesia                      Oceania         76293       
44    Honiara                        Solomon Islands                               Melanesia                      Oceania         50100       
45    Port-Vila                      Vanuatu                                       Melanesia                      Oceania         33700       
46    Dalap-Uliga-Darrit             Marshall Islands                              Micronesia                     Oceania         28000       
47    Koror                          Palau                                         Micronesia                     Oceania         12000       
48    Garapan                        Northern Mariana Islands                      Micronesia                     Oceania         9200        
49    Palikir                        Micronesia, Federated States of               Micronesia                     Oceania         8600        
50    Bairiki                        Kiribati                                      Micronesia                     Oceania         2226        
51    Baghdad                        Iraq                                          Middle East                    Asia            4336000     
52    Riyadh                         Saudi Arabia                                  Middle East                    Asia            3324000     
53    Ankara                         Turkey                                        Middle East                    Asia            3038159     
54    Bakı                           Azerbaijan                                    Middle East                    Asia            1787800     
55    Damascus                       Syria                                         Middle East                    Asia            1347000     
56    Stockholm                      Sweden                                        Nordic Countries               Europe          750348      
57    Helsinki [Helsingfors]         Finland                                       Nordic Countries               Europe          555474      
58    Oslo                           Norway                                        Nordic Countries               Europe          508726      
59    København                      Denmark                                       Nordic Countries               Europe          495699      
60    Reykjavík                      Iceland                                       Nordic Countries               Europe          109184      
61    Washington                     United States                                 North America                  North America   572059      
62    Ottawa                         Canada                                        North America                  North America   335277      
63    Nuuk                           Greenland                                     North America                  North America   13445       
64    Saint-Pierre                   Saint Pierre and Miquelon                     North America                  North America   5808        
65    Hamilton                       Bermuda                                       North America                  North America   1200        
66    Cairo                          Egypt                                         Northern Africa                Africa          6789479     
67    Alger                          Algeria                                       Northern Africa                Africa          2168000     
68    Tripoli                        Libyan Arab Jamahiriya                        Northern Africa                Africa          1682000     
69    Khartum                        Sudan                                         Northern Africa                Africa          947483      
70    Tunis                          Tunisia                                       Northern Africa                Africa          690600      
71    Apia                           Samoa                                         Polynesia                      Oceania         35900       
72    Papeete                        French Polynesia                              Polynesia                      Oceania         25553       
73    Nuku´alofa                     Tonga                                         Polynesia                      Oceania         22400       
74    Avarua                         Cook Islands                                  Polynesia                      Oceania         11900       
75    Funafuti                       Tuvalu                                        Polynesia                      Oceania         4600        
76    Lima                           Peru                                          South America                  South America   6464693     
77    Santafé de Bogotá              Colombia                                      South America                  South America   6260862     
78    Santiago de Chile              Chile                                         South America                  South America   4703954     
79    Buenos Aires                   Argentina                                     South America                  South America   2982146     
80    Caracas                        Venezuela                                     South America                  South America   1975294     
81    Jakarta                        Indonesia                                     Southeast Asia                 Asia            9604900     
82    Bangkok                        Thailand                                      Southeast Asia                 Asia            6320174     
83    Singapore                      Singapore                                     Southeast Asia                 Asia            4017733     
84    Rangoon (Yangon)               Myanmar                                       Southeast Asia                 Asia            3361700     
85    Manila                         Philippines                                   Southeast Asia                 Asia            1581082     
86    Pretoria                       South Africa                                  Southern Africa                Africa          658630      
87    Maseru                         Lesotho                                       Southern Africa                Africa          297000      
88    Gaborone                       Botswana                                      Southern Africa                Africa          213017      
89    Windhoek                       Namibia                                       Southern Africa                Africa          169000      
90    Mbabane                        Swaziland                                     Southern Africa                Africa          61000       
91    Teheran                        Iran                                          Southern and Central Asia      Asia            6758845     
92    Dhaka                          Bangladesh                                    Southern and Central Asia      Asia            3612850     
93    Toskent                        Uzbekistan                                    Southern and Central Asia      Asia            2117500     
94    Kabul                          Afghanistan                                   Southern and Central Asia      Asia            1780000     
95    Colombo                        Sri Lanka                                     Southern and Central Asia      Asia            645000      
96    Madrid                         Spain                                         Southern Europe                Europe          2879052     
97    Roma                           Italy                                         Southern Europe                Europe          2643581     
98    Beograd                        Yugoslavia                                    Southern Europe                Europe          1204000     
99    Athenai                        Greece                                        Southern Europe                Europe          772072      
100   Zagreb                         Croatia                                       Southern Europe                Europe          706770      
101   Conakry                        Guinea                                        Western Africa                 Africa          1090610     
102   Accra                          Ghana                                         Western Africa                 Africa          1070000     
103   Monrovia                       Liberia                                       Western Africa                 Africa          850000      
104   Freetown                       Sierra Leone                                  Western Africa                 Africa          850000      
105   Ouagadougou                    Burkina Faso                                  Western Africa                 Africa          824000      
106   Berlin                         Germany                                       Western Europe                 Europe          3386667     
107   Paris                          France                                        Western Europe                 Europe          2125246     
108   Wien                           Austria                                       Western Europe                 Europe          1608144     
109   Amsterdam                      Netherlands                                   Western Europe                 Europe          731200      
110   Bruxelles [Brussel]            Belgium                                       Western Europe                 Europe          133859      

